Boundary Name,Boundary Type,Construction Type,Insulation Details,Received From,Assembly R Value,Finish Type
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",ConcreteMasonryUnit,"6-in Hollow, R-7",MF_300 - bldg0000151,9.121285140562248,vinyl siding
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",ConcreteMasonryUnit,"6-in Hollow, Uninsulated",MF_300 - bldg0000165,3.7232786885245903,vinyl siding
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000094,12.919226393629124,wood siding
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000008,15.51790106586499,wood siding
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000256,17.917324076995897,wood siding
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",ConcreteMasonryUnit,"6-in Hollow, Uninsulated",MF_100 - bldg0000022,4.520700636942675,wood siding
Exterior Wall,Minimal,,Minimal,Fully_minimal (Denver),499.04339459999994,
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",StructuralBrick,"12-in, 3-wythe, R-15",MF_300 - bldg0000224,15.620357634112793,aluminum siding
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000164,18.01967629324024,aluminum siding
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_300 - bldg0000201,4.6237785016286646,aluminum siding
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_300 - bldg0000065,13.01994955285485,asbestos siding
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",StructuralBrick,"12-in, 3-wythe, R-15",MF_300 - bldg0000037,15.620357634112793,asbestos siding
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000283,18.01967629324024,asbestos siding
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_300 - bldg0000132,10.02117896223085,asbestos siding
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_300 - bldg0000031,4.6237785016286646,asbestos siding
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_300 - bldg0000194,13.01994955285485,composite shingle siding
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000175,18.01967629324024,composite shingle siding
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_300 - bldg0000009,4.6237785016286646,composite shingle siding
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_300 - bldg0000174,12.620582351633695,fiber cement siding
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",StructuralBrick,"12-in, 3-wythe, R-15",MF_300 - bldg0000125,15.218440096488878,fiber cement siding
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000034,17.617126900403353,fiber cement siding
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_300 - bldg0000068,9.620467638088783,fiber cement siding
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_100 - bldg0000011,12.421789542769634,none
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_100 - bldg0000006,17.41717791411043,none
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_300 - bldg0000080,9.420939107350256,none
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_100 - bldg0000010,4.021246458923513,none
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_100 - bldg0000096,12.620582351633695,stucco
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",StructuralBrick,"12-in, 3-wythe, R-15",MF_100 - bldg0000062,15.218440096488878,stucco
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000103,17.617126900403353,stucco
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_100 - bldg0000014,9.620467638088783,stucco
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_300 - bldg0000013,4.221561338289964,stucco
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_300 - bldg0000040,13.01994955285485,vinyl siding
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",StructuralBrick,"12-in, 3-wythe, R-15",MF_300 - bldg0000140,15.620357634112793,vinyl siding
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000086,18.01967629324024,vinyl siding
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_300 - bldg0000255,10.02117896223085,vinyl siding
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_300 - bldg0000069,13.821811100292113,wood siding
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",StructuralBrick,"12-in, 3-wythe, R-15",MF_300 - bldg0000297,16.419895893580104,wood siding
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_300 - bldg0000166,10.82142176481799,wood siding
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_100 - bldg0000005,5.423113658070678,wood siding
Exterior Wall,"WoodStud, aluminum siding, R-11",WoodStud,R-11,MF_300 - bldg0000017,10.02117896223085,aluminum siding
Exterior Wall,"WoodStud, aluminum siding, R-15",WoodStud,R-15,MF_300 - bldg0000082,11.821778055382053,aluminum siding
Exterior Wall,"WoodStud, aluminum siding, R-19",WoodStud,R-19,MF_300 - bldg0000115,15.12117177097204,aluminum siding
Exterior Wall,"WoodStud, aluminum siding, R-7",WoodStud,R-7,MF_100 - bldg0000095,8.42183328389202,aluminum siding
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000012,3.1232123212321232,aluminum siding
Exterior Wall,"WoodStud, asbestos siding, R-11",WoodStud,R-11,MF_300 - bldg0000105,10.02117896223085,asbestos siding
Exterior Wall,"WoodStud, asbestos siding, R-15",WoodStud,R-15,MF_300 - bldg0000053,11.821778055382053,asbestos siding
Exterior Wall,"WoodStud, asbestos siding, R-19",WoodStud,R-19,MF_300 - bldg0000032,15.12117177097204,asbestos siding
Exterior Wall,"WoodStud, asbestos siding, R-7",WoodStud,R-7,MF_300 - bldg0000213,8.42183328389202,asbestos siding
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",WoodStud,Uninsulated,MF_300 - bldg0000209,3.1232123212321232,asbestos siding
Exterior Wall,"WoodStud, brick veneer, R-11",WoodStud,R-11,MF_100 - bldg0000004,10.12121212121212,brick veneer
Exterior Wall,"WoodStud, brick veneer, R-15",WoodStud,R-15,MF_100 - bldg0000024,11.921058156623976,brick veneer
Exterior Wall,"WoodStud, brick veneer, R-19",WoodStud,R-19,MF_100 - bldg0000058,15.218440096488878,brick veneer
Exterior Wall,"WoodStud, brick veneer, R-7",WoodStud,R-7,MF_100 - bldg0000098,8.521686927810295,brick veneer
Exterior Wall,"WoodStud, brick veneer, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000008,3.2224744608399543,brick veneer
Exterior Wall,"WoodStud, composite shingle siding, R-11",WoodStud,R-11,MF_100 - bldg0000019,10.02117896223085,composite shingle siding
Exterior Wall,"WoodStud, composite shingle siding, R-15",WoodStud,R-15,MF_300 - bldg0000021,11.821778055382053,composite shingle siding
Exterior Wall,"WoodStud, composite shingle siding, R-19",WoodStud,R-19,MF_100 - bldg0000026,15.12117177097204,composite shingle siding
Exterior Wall,"WoodStud, composite shingle siding, R-7",WoodStud,R-7,MF_300 - bldg0000190,8.42183328389202,composite shingle siding
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",WoodStud,Uninsulated,MF_300 - bldg0000104,3.1232123212321232,composite shingle siding
Exterior Wall,"WoodStud, fiber cement siding, R-11",WoodStud,R-11,MF_300 - bldg0000025,9.620467638088783,fiber cement siding
Exterior Wall,"WoodStud, fiber cement siding, R-15",WoodStud,R-15,MF_300 - bldg0000196,11.419951729686243,fiber cement siding
Exterior Wall,"WoodStud, fiber cement siding, R-19",WoodStud,R-19,MF_300 - bldg0000075,14.721285973554576,fiber cement siding
Exterior Wall,"WoodStud, fiber cement siding, R-7",WoodStud,R-7,MF_300 - bldg0000098,8.020906907755332,fiber cement siding
Exterior Wall,"WoodStud, fiber cement siding, Uninsulated",WoodStud,Uninsulated,MF_300 - bldg0000002,2.721955896452541,fiber cement siding
Exterior Wall,"WoodStud, stucco, R-11",WoodStud,R-11,MF_100 - bldg0000021,9.620467638088783,stucco
Exterior Wall,"WoodStud, stucco, R-15",WoodStud,R-15,MF_300 - bldg0000246,11.419951729686243,stucco
Exterior Wall,"WoodStud, stucco, R-19",WoodStud,R-19,MF_100 - bldg0000051,14.721285973554576,stucco
Exterior Wall,"WoodStud, stucco, R-7",WoodStud,R-7,MF_100 - bldg0000076,8.020906907755332,stucco
Exterior Wall,"WoodStud, stucco, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000037,2.721955896452541,stucco
Exterior Wall,"WoodStud, vinyl siding, R-11",WoodStud,R-11,MF_100 - bldg0000013,10.02117896223085,vinyl siding
Exterior Wall,"WoodStud, vinyl siding, R-15",WoodStud,R-15,MF_100 - bldg0000063,11.821778055382053,vinyl siding
Exterior Wall,"WoodStud, vinyl siding, R-19",WoodStud,R-19,MF_300 - bldg0000066,15.12117177097204,vinyl siding
Exterior Wall,"WoodStud, vinyl siding, R-7",WoodStud,R-7,MF_100 - bldg0000003,8.42183328389202,vinyl siding
Exterior Wall,"WoodStud, vinyl siding, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000009,3.1232123212321232,vinyl siding
Exterior Wall,"WoodStud, wood siding, R-11",WoodStud,R-11,MF_100 - bldg0000033,10.82142176481799,wood siding
Exterior Wall,"WoodStud, wood siding, R-15",WoodStud,R-15,MF_100 - bldg0000001,12.620582351633695,wood siding
Exterior Wall,"WoodStud, wood siding, R-19",WoodStud,R-19,MF_100 - bldg0000023,15.918138491729744,wood siding
Exterior Wall,"WoodStud, wood siding, R-7",WoodStud,R-7,MF_100 - bldg0000040,9.220526144852224,wood siding
Exterior Wall,"WoodStud, wood siding, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000002,3.921270718232044,wood siding
Floor,2ft R10 Exterior,,2ft R10 Exterior,Minimal_slab_2ftR10_ext,10.013853517572,
Floor,"2ft R10 Perimeter, R5 Gap",,2ft R10 Perimeter,Minimal_slab_2ftR10_R5G,8.320862381747999,
Floor,2ft R5 Exterior,,2ft R5 Exterior,Minimal_slab_2ftR5_ext,8.546745003598,
Floor,"2ft R5 Perimeter, R5 Gap",,2ft R5 Perimeter,Minimal_slab_2ftR5_R5G,7.88909470769,
Floor,"4ft R10 Perimeter, R5 Gap",,4ft R10 Perimeter,Minimal_slab_4ftR10_R5G,9.98108998697,
Floor,4ft R5 Exterior,,4ft R5 Exterior,Minimal_slab_4ftR5_ext (Denver),10.751293,
Floor,"4ft R5 Perimeter, R5 Gap",,4ft R5 Perimeter,Minimal_slab_4ftR5_R5G,9.008391205101999,
Floor,Minimal,,Minimal,Fully_minimal (OLD),500.495899638654,
Floor,"R10 Whole Slab, R5 Gap",,R10 Whole Slab,Minimal_slab_wholeR10_R5G,14.842532843726001,
Floor,Uninsulated,,Uninsulated,Minimal_slab_unins,5.5089847228240005,
Foundation Ceiling,Ceiling R-13,,Ceiling R-13,MF_100 - bldg0000065,15.9584035975267,
Foundation Ceiling,Ceiling R-19,,Ceiling R-19,MF_100 - bldg0000023,20.752923976608187,
Foundation Ceiling,Ceiling R-30,,Ceiling R-30,MF_300 - bldg0000014,28.46115288220551,
Foundation Ceiling,Ceiling R-38,,Ceiling R-38,MF_300 - bldg0000001,33.2630345635618,
Foundation Ceiling,Uninsulated,,Uninsulated,MF_100 - bldg0000002,3.4600853138330283,
Foundation Floor,Minimal,,Minimal,"copied from Floor, Minimal",500.495899638654,
Foundation Floor,Uninsulated,,Uninsulated,"copied from Floor, Uninsulated",5.5089847228240005,
Foundation Furniture,Standard,,,MF_100 - bldg0000002,7.494720168954593,
Foundation Wall,"CS,  Half Wall R10",Crawlspace,Half R10,Copied from Unfinished Basement,4.762741285632001,
Foundation Wall,"CS,  Half Wall R5",Crawlspace,Half R5,Copied from Unfinished Basement,4.234690090564,
Foundation Wall,"CS,  Uninsulated",Crawlspace,Uninsulated,Copied from Unfinished Basement,3.94090720224,
Foundation Wall,"CS,  Whole Wall R10",Crawlspace,R10,Copied from Unfinished Basement,11.877599965028002,
Foundation Wall,"CS,  Whole Wall R13",Crawlspace,R13,Minimal_crawlspace_R13 (Denver),14.87636,
Foundation Wall,"CS,  Whole Wall R15",Crawlspace,R15,Minimal_crawlspace_R15 (Denver),16.875016,
Foundation Wall,"CS,  Whole Wall R20",Crawlspace,R20,Copied from Unfinished Basement,21.875603430770003,
Foundation Wall,"CS,  Whole Wall R5",Crawlspace,R5,Copied from Unfinished Basement,7.267890483098,
Foundation Wall,"FB, R10",Finished Basement,R10,"Copied from FB, R5",12.327474133794,
Foundation Wall,"FB, R13",Finished Basement,R13,Minimal_fin_basement_R13,11.376510054566,
Foundation Wall,"FB, R15",Finished Basement,R15,Minimal_fin_basement_R15,17.326475869504,
Foundation Wall,"FB, R18",Finished Basement,R18,Minimal_fin_basement_R13_R5XPS,13.032753367442,
Foundation Wall,"FB, R5",Finished Basement,R5,Minimal_fin_basement_R5,7.328472403762,
Foundation Wall,"FB, Uninsulated",Finished Basement,Uninsulated,Minimal_fin_basement_unins,3.9408173649240004,
Foundation Wall,"UB, Half Wall R10",Unfinished Basement,Half R10,Minimal_basement_halfwall_R10,4.762741285632001,
Foundation Wall,"UB, Half Wall R5",Unfinished Basement,Half R5,Minimal_basement_halfwall_R5,4.234690090564,
Foundation Wall,"UB, Uninsulated",Unfinished Basement,Uninsulated,Minimal_basement_ceiling_R13,3.94090720224,
Foundation Wall,"UB, Whole Wall R10",Unfinished Basement,R10,Minimal_basement_wholewall_R10,11.877599965028002,
Foundation Wall,"UB, Whole Wall R13",Unfinished Basement,R13,Minimal_unfin_basement_R13 (Denver),9.204038,
Foundation Wall,"UB, Whole Wall R15",Unfinished Basement,R15,Minimal_unfin_basement_R15 (Denver),16.875016,
Foundation Wall,"UB, Whole Wall R20",Unfinished Basement,R20,Minimal_basement_wholewall_R20,21.875603430770003,
Foundation Wall,"UB, Whole Wall R5",Unfinished Basement,R5,Minimal_basement_wholewall_R5,7.267890483098,
Garage Attached Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",ConcreteMasonryUnit,"6-in Hollow, R-7",MF_300 - bldg0000036,8.63836908565343,asbestos siding
Garage Attached Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000189,14.338383838383836,brick veneer
Garage Attached Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_100 - bldg0000007,11.23688897684544,stucco
Garage Attached Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000271,17.438574938574938,wood siding
Garage Attached Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_100 - bldg0000011,11.938603868797308,none
