Boundary Name,Boundary Type,Construction Type,Insulation Details,Material Name,Thickness (m),Conductivity (W/m-K),Density (kg/m^3),Specific Heat (kJ/kg-K),Resistance (m^2-K/W),Capacitance (kJ/m^2-K),Received From,Specific Heat (J/kg-K)
Attic Floor,R-49,,,CEILING STUD AND CAVITY,0.1397,0.092,65.682,,1.518,10.804163557136398,,1177.466
Attic Floor,R-49,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,R-60,,,CEILING LOOSEFILL INS,0.4233,0.048,16.02,,8.804,7.098290185500001,,1046.75
Attic Floor,R-60,,,CEILING STUD AND CAVITY,0.1397,0.082,65.682,,1.694,10.804163557136398,,1177.466
Attic Floor,R-60,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,R-7,,,CEILING STUD AND CAVITY,0.1397,0.118,65.682,,1.183,10.804163557136398,,1177.466
Attic Floor,R-7,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,Uninsulated,,,CEILING STUD AND CAVITY,0.0889,1.052,20.986,,0.08452,2.0292006180194004,,1087.661
Attic Floor,Uninsulated,,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched",,,ASPHALT OR FIBERGLASS SHINGLES,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched",,,ROOF RIGID INS,0.0028,0.029,32.04,,0.09571,0.10893100176,,1214.23
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,ASPHALT OR FIBERGLASS SHINGLES,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,ROOF RIGID INS,0.0028,0.029,32.04,,0.09571,0.10893100176,,1214.23
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,RADIANT BARRIER,0.0002,235.07,2700.972,,9.076e-07,0.4975946696160001,,921.14
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched",,,METAL SURFACING,0.0005,50.04,7801.74,,1.015e-05,1.7966236959,,460.57
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched",,,ROOF RIGID INS,0.004,0.029,32.04,,0.1347,0.1556157168,,1214.23
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,METAL SURFACING,0.0005,50.04,7801.74,,1.015e-05,1.7966236959,,460.57
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,ROOF RIGID INS,0.004,0.029,32.04,,0.1347,0.1556157168,,1214.23
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,RADIANT BARRIER,0.0002,235.07,2700.972,,9.076e-07,0.4975946696160001,,921.14
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched",,,SLATE OR TILE SHINGLES,0.0191,0.841,1899.972,,0.02265,29.0213022413484,,799.717
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched",,,ROOF RIGID INS,0.0033,0.029,32.04,,0.1121,0.12838296636,,1214.23
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,SLATE OR TILE SHINGLES,0.0191,0.841,1899.972,,0.02265,29.0213022413484,,799.717
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,ROOF RIGID INS,0.0033,0.029,32.04,,0.1121,0.12838296636,,1214.23
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,RADIANT BARRIER,0.0002,235.07,2700.972,,9.076e-07,0.4975946696160001,,921.14
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched",,,WOOD SHINGLES OR SHAKES,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched",,,ROOF RIGID INS,0.0028,0.029,32.04,,0.09571,0.10893100176,,1214.23
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,WOOD SHINGLES OR SHAKES,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,ROOF RIGID INS,0.0028,0.029,32.04,,0.09571,0.10893100176,,1214.23
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier",,,RADIANT BARRIER,0.0002,235.07,2700.972,,9.076e-07,0.4975946696160001,,921.14
Attic Wall,Minimal,,Minimal,WOOD SIDING,0.0025,0.102,544.68,1172.36,0.0248,1.596402612,Copied from Minimal Exterior Wall,
Attic Wall,Minimal,,Minimal,WALL STUD AND CAVITY,0.0889,0.001,50.327,1063.81,87.85,4.759560726,Copied from Minimal Exterior Wall,
Attic Wall,Minimal,,Minimal,GYPSUM BOARD,0.0025,0.16,801.0,837.4,0.0159,1.6768935,Copied from Minimal Exterior Wall,
Attic Wall,"WoodStud, aluminum siding, Est. R-3.1",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Attic Wall,"WoodStud, aluminum siding, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, aluminum siding, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.419,139.054,,0.3334,22.7328605968244,,1170.238
Attic Wall,"WoodStud, asbestos siding, Est. R-3.1",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Attic Wall,"WoodStud, asbestos siding, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, asbestos siding, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.325,139.054,,0.4294,22.7328605968244,,1170.238
Attic Wall,"WoodStud, brick veneer, Est. R-3.1",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Attic Wall,"WoodStud, brick veneer, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, brick veneer, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.448,139.054,,0.3119,22.7328605968244,,1170.238
Attic Wall,"WoodStud, composite shingle siding, Est. R-3.1",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Attic Wall,"WoodStud, composite shingle siding, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, composite shingle siding, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.348,139.054,,0.4009,22.7328605968244,,1170.238
Attic Wall,"WoodStud, fiber cement siding, Est. R-3.1",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Attic Wall,"WoodStud, fiber cement siding, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, fiber cement siding, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.347,139.054,,0.403,22.7328605968244,,1170.238
Attic Wall,"WoodStud, stucco, Est. R-3.1",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Attic Wall,"WoodStud, stucco, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, stucco, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.349,139.054,,0.4008,22.7328605968244,,1170.238
Attic Wall,"WoodStud, vinyl siding, Est. R-3.1",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Attic Wall,"WoodStud, vinyl siding, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, vinyl siding, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.419,139.054,,0.3334,22.7328605968244,,1170.238
Attic Wall,"WoodStud, wood siding, Est. R-3.1",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Attic Wall,"WoodStud, wood siding, Est. R-3.1",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Attic Wall,"WoodStud, wood siding, Est. R-3.1",,,WALL STUD AND CAVITY,0.1397,0.728,139.054,,0.1919,22.7328605968244,,1170.238
Door,R-2.1,,,DOOR MATERIAL,0.0445,0.206,512.64,,0.2153,27.6995975904,,1214.23
Door,R-5.0,,,DOOR MATERIAL,0.0445,0.061,512.64,,0.726,27.6995975904,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",,,WALL RIGID INS,0.0366,0.029,32.04,,1.243,1.42388380872,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",,,WALL RIGID INS,0.049,0.029,32.04,,1.664,1.9062925308,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.056,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",,,WALL RIGID INS,0.0077,0.029,32.04,,0.2615,0.29956025484,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.049,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, Uninsulated",,,ALUMINUM SIDING,0.0025,0.089,177.822,,0.0284,0.46533794625,,1046.75
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, Uninsulated",,,WALL RIGID INS,0.012,0.029,32.04,,0.4069,0.4668471503999999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, Uninsulated",,,CONCRETE BLOCK,0.1524,0.745,1892.443,,0.2044,241.80758636145725,,838.421
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, Uninsulated",,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",,,WALL RIGID INS,0.026,0.029,32.04,,0.8827,1.0115021592,,1214.23
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",,,WALL RIGID INS,0.0394,0.029,32.04,,1.339,1.5328148104799997,,1214.23
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",,,WALL RIGID INS,0.0105,0.029,32.04,,0.3575,0.4084912565999999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.049,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-11",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-11",,,WALL RIGID INS,0.023,0.029,32.04,,0.7826,0.8947903716,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",,,WALL RIGID INS,0.0364,0.029,32.04,,1.239,1.41610302288,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",,,WALL RIGID INS,0.0488,0.029,32.04,,1.66,1.89851174496,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.056,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",,,WALL RIGID INS,0.0076,0.029,32.04,,0.2575,0.29566986192,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.049,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, Uninsulated",,,BRICK VENEER,0.0025,0.793,1762.2,,0.003202,3.5047074150000004,,795.53
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, Uninsulated",,,WALL RIGID INS,0.0132,0.029,32.04,,0.4496,0.51353186544,,1214.23
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, Uninsulated",,,CONCRETE BLOCK,0.1524,0.745,1892.443,,0.2045,241.80758636145725,,838.421
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, Uninsulated",,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",,,WALL RIGID INS,0.0251,0.029,32.04,,0.8542,0.97648862292,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",,,WALL RIGID INS,0.0386,0.029,32.04,,1.31,1.5016916671200002,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
