Category,OCHRE Name,OCHRE Units,OS-HPXML Name,OS-HPXML Units,Eplus Detailed Name,Eplus Detailed Units,Verbosity,Description,Notes
Other,Other Electric Power (kW),kW,"['End Use: Electricity: Mech Vent', 'End Use: Electricity: Refrigerator', 'End Use: Electricity: Dishwasher', 'End Use: Electricity: Clothes Washer', 'End Use: Electricity: Clothes Dryer', 'End Use: Electricity: Range/Oven', 'End Use: Electricity: Ceiling Fan', 'End Use: Electricity: Pool Pump', 'End Use: Electricity: Pool Heater', 'End Use: Electricity: Hot Tub Pump', 'End Use: Electricity: Hot Tub Heater', 'End Use: Electricity: Well Pump', 'End Use: Electricity: Television', 'End Use: Electricity: Plug Loads']",kW,,,,,
Other,Clothes Washer Electric Power (kW),kW,End Use: Electricity: Clothes Washer,kW,,,,,
Other,Clothes Dryer Electric Power (kW),kW,End Use: Electricity: Clothes Dryer,kW,,,,,
Other,Dishwasher Electric Power (kW),kW,End Use: Electricity: Dishwasher,kW,,,,,
Other,Refrigerator Electric Power (kW),kW,End Use: Electricity: Refrigerator,kW,,,,,
Other,Cooking Range Electric Power (kW),kW,End Use: Electricity: Range/Oven,kW,,,,,
Other,MELs Electric Power (kW),kW,End Use: Electricity: Plug Loads,kW,,,,,
Other,TV Electric Power (kW),kW,End Use: Electricity: Television,kW,,,,,
Other,Well Pump Electric Power (kW),kW,End Use: Electricity: Well Pump,kW,,,,,
Other,Pool Pump Electric Power (kW),kW,End Use: Electricity: Pool Pump,kW,,,,,
Other,Pool Heater Electric Power (kW),kW,End Use: Electricity: Pool Heater,kW,,,,,
Other,Hot Tub Pump Electric Power (kW),kW,End Use: Electricity: Hot Tub Pump,kW,,,,,
Other,Hot Tub Heater Electric Power (kW),kW,End Use: Electricity: Hot Tub Heater,kW,,,,,
Other,Ceiling Fan Electric Power (kW),kW,End Use: Electricity: Ceiling Fan,kW,,,,,
Other,Ventilation Fan Electric Power (kW),kW,End Use: Electricity: Mech Vent,kW,,,,,
Dwelling,Total Gas Power (therms/hour),therms/hour,Fuel Use: Natural Gas: Total,kBtu/hour,,,,,
HVAC Heating,HVAC Heating Gas Power (therms/hour),therms/hour,End Use: Natural Gas: Heating,kBtu/hour,,,,,
Water Heating,Water Heating Gas Power (therms/hour),therms/hour,End Use: Natural Gas: Hot Water,kBtu/hour,,,,,
Gas Generator,Generator Gas Power (therms/hour),therms/hour,End Use: Natural Gas: Generator,kBtu/hour,,,,,
Other,Other Gas Power (therms/hour),therms/hour,,,,,,,
Other,Clothes Dryer Gas Power (therms/hour),therms/hour,End Use: Natural Gas: Clothes Dryer,kBtu/hour,,,,,
Other,Cooking Range Gas Power (therms/hour),therms/hour,End Use: Natural Gas: Range/Oven,kBtu/hour,,,,,
Other,MGLs Gas Power (therms/hour),therms/hour,"['End Use: Natural Gas: Grill', 'End Use: Natural Gas: Lighting', 'End Use: Natural Gas: Fireplace']",kBtu/hour,,,,,
Envelope,Temperature - Indoor (C),degC,Temperature: Living Space,degF,LIVING SPACE:Zone Mean Air Temperature [C](Hourly),degC,,,
Envelope,Temperature - Garage (C),degC,Temperature: Garage,degF,,,,,
Envelope,Temperature - Foundation (C),degC,"['Temperature: Crawlspace - Vented', 'Temperature: Basement - Vented']",degF,,,,,
Envelope,Temperature - Attic (C),degC,"['Temperature: Attic - Vented', 'Temperature: Attic - Unvented']",degF,"['ATTIC - VENTED:Zone Mean Air Temperature [C](Hourly), 'ATTIC - UNVENTED:Zone Mean Air Temperature [C](Hourly)']",degC,,,
Envelope,Net Latent Heat Gain - Indoor (W),W,,,,,,,
Envelope,Relative Humidity - Indoor (-),unitless,,,,,,,
Envelope,Humidity Ratio - Indoor (-),unitless,,,,,,,
HVAC Heating,HVAC Heating Delivered (kW),kW,Load: Heating: Delivered,kBtu/hour,BASEBOARD:Baseboard Total Heating Energy [J](Hourly),J/hour,,,
HVAC Heating,HVAC Heating Duct Losses (W),W,Component Load: Heating: Ducts,kBtu/hour,,,,,
HVAC Heating,HVAC Heating Capacity (kW),kW,,,,,,,
HVAC Heating,HVAC Heating EIR Ratio (-),unitless,,,,,,,
HVAC Heating,HVAC Heating Capacity Ratio (-),unitless,,,,,,,
HVAC Heating,HVAC Heating Setpoint (C),degC,Temperature: Heating Setpoint,degF,,,,,
HVAC Cooling,HVAC Cooling Delivered (kW),kW,Load: Cooling: Delivered,kBtu/hour,CENTRAL AC CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),J/hour,,,
HVAC Cooling,HVAC Cooling Latent Gains (kW),kW,,,,,,,
HVAC Cooling,HVAC Cooling Duct Losses (W),W,Component Load: Cooling: Ducts,kBtu/hour,,,,,
HVAC Cooling,HVAC Cooling Capacity (kW),kW,,,,,,,
HVAC Cooling,HVAC Cooling Sensible Capacity (kW),kW,,,,,,,
HVAC Cooling,HVAC Cooling Setpoint (C),degC,Temperature: Cooling Setpoint,degF,,,,,
Water Heating,Hot Water Delivered (kW),kW,Load: Hot Water: Delivered,kBtu/hour,,,,,
Water Heating,Hot Water Outlet Temperature (C),degC,,,,,,,
Water Heating,Hot Water Delivered (L/min),L/min,"['Hot Water: Clothes Washer', 'Hot Water: Dishwasher', 'Hot Water: Fixtures', 'Hot Water: Distribution Waste']",gallon/hour,,,,,
Envelope,Unmet HVAC Load (C),degC,,,,,,,"Compare to ""Unmet Hours| Heating"" and ""Unmet Hours| Cooling"""
Envelope,Forced Ventilation Flow Rate - Indoor (m^3/s),m^3/s,"['Airflow: Mechanical Ventilation', 'Airflow: Whole House Fan']",cubic_feet/min,,,,,
Envelope,Natural Ventilation Flow Rate - Indoor (m^3/s),m^3/s,Airflow: Natural Ventilation,cubic_feet/min,"['EMS:Qfan_timeseries_outvar [M^3/S](Hourly)', 'EMS:natural_vent_flow_act_timeseries_outvar [M^3/S](Hourly)', 'EMS:whole_house_fan_flow_act_timeseries_outvar [M^3/S](Hourly)']",m^3/s,,,
Envelope,Infiltration Flow Rate - Indoor (m^3/s),m^3/s,Airflow: Infiltration,cubic_feet/min,"['LIVING SPACE:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly)', 'EMS:infil_flow_act_timeseries_outvar [M^3/S](Hourly)']",m^3/s,,,
Envelope,Infiltration Flow Rate - Foundation (m^3/s),m^3/s,,,,,,,
Envelope,Infiltration Flow Rate - Garage (m^3/s),m^3/s,,,,,,,
Envelope,Infiltration Flow Rate - Attic (m^3/s),m^3/s,,,"['ATTIC - VENTED:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly)', 'ATTIC - UNVENTED:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly)']",m^3/s,,,
Envelope,Forced Ventilation Heat Gain - Indoor (W),W,"['~Component Load: Heating: Mechanical Ventilation', 'Component Load: Cooling: Mechanical Ventilation']",kBtu/hour,,,,,
Envelope,Natural Ventilation Heat Gain - Indoor (W),W,"['~Component Load: Heating: Natural Ventilation', 'Component Load: Cooling: Natural Ventilation']",kBtu/hour,,,,,
Envelope,Infiltration Heat Gain - Indoor (W),W,"['~Component Load: Heating: Infiltration', 'Component Load: Cooling: Infiltration']",kBtu/hour,"['LIVING SPACE:Zone Infiltration Sensible Heat Loss Energy [J](Hourly)', '~LIVING SPACE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly)']",J/hour,,,
Envelope,Infiltration Heat Gain - Foundation (W),W,,,,,,,
Envelope,Infiltration Heat Gain - Garage (W),W,,,,,,,
Envelope,Infiltration Heat Gain - Attic (W),W,,,"['ATTIC - VENTED:Zone Infiltration Sensible Heat Loss Energy [J](Hourly)', '~ATTIC - VENTED:Zone Infiltration Sensible Heat Gain Energy [J](Hourly)']",J/hour,,,
Envelope,Occupancy Heat Gain - Indoor (W),W,,,OCCUPANTS:People Sensible Heating Rate [W](Hourly),W,,,
Envelope,Internal Heat Gain - Indoor (W),W,"['~Component Load: Heating: Internal Gains', 'Component Load: Cooling: Internal Gains', '~Component Load: Heating: Lighting', 'Component Load: Cooling: Lighting']",kBtu/hour,,,,,
Schedule,Temperature - Outdoor (C),degC,Weather: Drybulb Temperature,degF,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),degC,,,
Schedule,Ambient Humidity Ratio (-),unitless,,,,,,,
Schedule,Ambient Relative Humidity (-),unitless,Weather: Relative Humidity,percent,Environment:Site Outdoor Air Relative Humidity [%](Hourly),percent,,,
Schedule,Wind Speed (m/s),m/s,Weather: Wind Speed,mph,Environment:Site Wind Speed [m/s](Hourly),m/s,,,
Schedule,DNI (W/m^2),W/m^2,Weather: Diffuse Solar Radiation,Btu/(hour*ft^2),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),W/m^2,,,
Schedule,DHI (W/m^2),W/m^2,Weather: Direct Solar Radiation,Btu/(hour*ft^2),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),W/m^2,,,
Schedule,GHI (W/m^2),W/m^2,,,,,,,
Envelope,Window Transmitted Solar Gain (W),W,,,LIVING SPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),W,,,
